artist_id,artist_name,genres,artist_popularity,artist_followers,artist_profile,image,lg_image,md_image,sm_image
3lMQtpA4i6FrIe6DmDfDVa,Predella,['boom bap brasileiro'],43,27628,https://open.spotify.com/artist/3lMQtpA4i6FrIe6DmDfDVa,https://i.scdn.co/image/ab6761610000e5ebb4956efe5f95263b4121c3b3,"(640, 640)","(320, 320)","(160, 160)"
0HgJGuXJ0wxRHvSUPh9axv,Ronex,[],0,28,https://open.spotify.com/artist/0HgJGuXJ0wxRHvSUPh9axv,https://i.scdn.co/image/ab6761610000e5eb89e596b3baaf4990d67183d7,"(640, 640)","(320, 320)","(160, 160)"
1pcufq5QrAZE0kBRQS65DM,CASS,"['christian hip hop', 'christian pop', 'nz christian']",37,44748,https://open.spotify.com/artist/1pcufq5QrAZE0kBRQS65DM,https://i.scdn.co/image/ab6761610000e5eb3196ff44b9727ee7f9630e81,"(640, 640)","(320, 320)","(160, 160)"
2UEm3mXEPGyxeWQJYc8WSx,Wino,[],47,859,https://open.spotify.com/artist/2UEm3mXEPGyxeWQJYc8WSx,,,,
00b3RKsk2pv5VWSnYAKW8u,Man Without Country,['metropopolis'],29,14259,https://open.spotify.com/artist/00b3RKsk2pv5VWSnYAKW8u,https://i.scdn.co/image/ab6761610000e5eb3ba4c591eebe210a940f953e,"(640, 640)","(320, 320)","(160, 160)"
00jACgDWIBdPM4eH8nORwz,Reva DeVito,['portland hip hop'],36,8290,https://open.spotify.com/artist/00jACgDWIBdPM4eH8nORwz,https://i.scdn.co/image/ab6761610000e5ebc1cb861fec00514d15ebc75b,"(640, 640)","(320, 320)","(160, 160)"
0JYmatsiEQMn2v5KchV8u2,Killah Priest,"['drumless hip hop', 'east coast hip hop', 'wu fam']",41,91851,https://open.spotify.com/artist/0JYmatsiEQMn2v5KchV8u2,https://i.scdn.co/image/8b92e8deb3dd5a68f86f31b2ff8738b4afcde682,"(1200, 964)","(797, 640)","(249, 200)"
3hoXsvr32pFGEiJvju63jQ,Triomphe,['new french touch'],44,7146,https://open.spotify.com/artist/3hoXsvr32pFGEiJvju63jQ,https://i.scdn.co/image/ab6761610000e5eb7ec6bb8faa20efa578a6d881,"(640, 640)","(320, 320)","(160, 160)"
3asnx5wPmRa7wGeD7NXJcO,TripL,['big room'],22,11234,https://open.spotify.com/artist/3asnx5wPmRa7wGeD7NXJcO,https://i.scdn.co/image/ab6761610000e5ebc6819531f010a49fbc0555a2,"(640, 640)","(320, 320)","(160, 160)"
3ADyFy1orEwODaiHmRRMQp,Puri,['basshall'],49,25747,https://open.spotify.com/artist/3ADyFy1orEwODaiHmRRMQp,https://i.scdn.co/image/ab6761610000e5eba22623b5c4d912075ba59116,"(640, 640)","(320, 320)","(160, 160)"
2sfEYMh6WUXeBsFXZDxSBM,Макс Лоренс,[],1,5,https://open.spotify.com/artist/2sfEYMh6WUXeBsFXZDxSBM,,,,
5d6d9BKflfGdQxCv48KaU4,Ike Eyes,[],5,223,https://open.spotify.com/artist/5d6d9BKflfGdQxCv48KaU4,https://i.scdn.co/image/ab67616d0000b273576eb5864968fcd19e248b7b,"(640, 640)","(300, 300)","(64, 64)"
6Q3G9j7PybR9BNCsGsJ2AT,Simsey,['danish hip hop'],20,3710,https://open.spotify.com/artist/6Q3G9j7PybR9BNCsGsJ2AT,https://i.scdn.co/image/ab6761610000e5eb3e6368e0305abca7def139d8,"(640, 640)","(320, 320)","(160, 160)"
6Ad91Jof8Niiw0lGLLi3NW,YUNGBLUD,"['british indie rock', 'modern rock', 'pov: indie', 'rock']",65,2266347,https://open.spotify.com/artist/6Ad91Jof8Niiw0lGLLi3NW,https://i.scdn.co/image/ab6761610000e5ebc733e03049f72ac47bee8259,"(640, 640)","(320, 320)","(160, 160)"
63uxQhWEuj7Zuau9j5XKIB,Sarah Chernoff,[],25,1084,https://open.spotify.com/artist/63uxQhWEuj7Zuau9j5XKIB,https://i.scdn.co/image/ab6761610000e5eb2d1841f733a2504dbcab5774,"(640, 640)","(320, 320)","(160, 160)"
5jveqew1B4g1SrR8uxgTES,LouisaFer,[],27,176,https://open.spotify.com/artist/5jveqew1B4g1SrR8uxgTES,,,,
6bBBusyZHtlFksFZaP6Js5,Dez Money,[],5,836,https://open.spotify.com/artist/6bBBusyZHtlFksFZaP6Js5,https://i.scdn.co/image/ab6761610000e5eb6c0adc1cb511ff4f48aef0ef,"(640, 640)","(320, 320)","(160, 160)"
4KkHjCe8ouh8C2P9LPoD4F,Yolanda Be Cool,"['australian dance', 'australian house', 'bass house']",49,48650,https://open.spotify.com/artist/4KkHjCe8ouh8C2P9LPoD4F,https://i.scdn.co/image/ab6761610000e5eb56623c40ef7e5eefe6d29ab2,"(640, 640)","(320, 320)","(160, 160)"
2NtN73hhhgFt2NmbBOlFz1,Under Side 821,['mexican hip hop'],53,844635,https://open.spotify.com/artist/2NtN73hhhgFt2NmbBOlFz1,https://i.scdn.co/image/ab6761610000e5ebe32686ce1d120780feaad719,"(640, 640)","(320, 320)","(160, 160)"
0543y7yrvny4KymoaneT4W,Peter Frampton,"['album rock', 'british blues', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'progressive rock', 'rock', 'singer-songwriter', 'soft rock', 'southern rock']",52,1251339,https://open.spotify.com/artist/0543y7yrvny4KymoaneT4W,https://i.scdn.co/image/ab6761610000e5ebdf422233531e21eefeec9996,"(640, 640)","(320, 320)","(160, 160)"
2Gop8SbSVt5SaJzuaRFa7D,Gloria Estefan And Miami Sound Machine,[],44,104809,https://open.spotify.com/artist/2Gop8SbSVt5SaJzuaRFa7D,https://i.scdn.co/image/ab67616d0000b273274b32a7c63ffd43950a5021,"(640, 640)","(300, 300)","(64, 64)"
3GBPw9NK25X1Wt2OUvOwY3,Jack Johnson,['neo mellow'],73,3750209,https://open.spotify.com/artist/3GBPw9NK25X1Wt2OUvOwY3,https://i.scdn.co/image/ab6761610000e5eb9555a0b3231117c8cde1fca7,"(640, 640)","(320, 320)","(160, 160)"
62tC2LQ4dKzNEIAUFFuHmo,View,['finnish trap'],14,5898,https://open.spotify.com/artist/62tC2LQ4dKzNEIAUFFuHmo,https://i.scdn.co/image/ab6761610000e5eb47ea608444b4fccc7c4059ec,"(640, 640)","(320, 320)","(160, 160)"
4a95izyFgvXS2JYqL8rANq,SHOTTY HORROH,"['battle rap', 'irish hip hop', 'manchester hip hop']",33,17348,https://open.spotify.com/artist/4a95izyFgvXS2JYqL8rANq,https://i.scdn.co/image/ab6761610000e5ebafd052d19957c06081f5a4e9,"(640, 640)","(320, 320)","(160, 160)"
2nszmSgqreHSdJA3zWPyrW,Luis Miguel,"['bolero', 'latin pop']",79,15215610,https://open.spotify.com/artist/2nszmSgqreHSdJA3zWPyrW,https://i.scdn.co/image/ab6761610000e5eb6481401e529e475116702a29,"(640, 640)","(320, 320)","(160, 160)"
5w6mMj1qwSILG0pcylfchp,FÄIS,['dutch pop'],38,30698,https://open.spotify.com/artist/5w6mMj1qwSILG0pcylfchp,https://i.scdn.co/image/ab6761610000e5ebd5f2af7d559de16fc13681cb,"(640, 640)","(320, 320)","(160, 160)"
2WbG0sHo7zvYLCFPFSAXXJ,Dirty Honkers,['electro swing'],22,14477,https://open.spotify.com/artist/2WbG0sHo7zvYLCFPFSAXXJ,https://i.scdn.co/image/ab6761610000e5eb3f188df39f1133905ce23382,"(640, 640)","(320, 320)","(160, 160)"
5aAlzehdUM14I4ppq24Xob,Fruko Y Sus Tesos,"['salsa', 'salsa colombiana']",52,343714,https://open.spotify.com/artist/5aAlzehdUM14I4ppq24Xob,https://i.scdn.co/image/ab6761610000e5eb2f748d6046c5d9701ce234fc,"(640, 640)","(320, 320)","(160, 160)"
7K4kPTcSdsMPSgUZuMOBpH,Evie Clair,[],18,12867,https://open.spotify.com/artist/7K4kPTcSdsMPSgUZuMOBpH,https://i.scdn.co/image/ab6761610000e5eb011afd4a22c14a542b535e55,"(640, 640)","(320, 320)","(160, 160)"
